,sentiment,text
0,-1,@MargaretsBelly Amy Schumer is the stereotypical 1st world Laci Green feminazi. Plus she's unfunny
1,-1,@dani_pitter I mean I get the hype around JLaw. I may not like her but I get her hype. I just don't understand Amy Schumer and her hype
2,-1,Amy Schumer at the #GQmenoftheyear2015 party in a dress we pretty much hate:  _URL  #GQMOTY2015  _URL 
3,-1,"""Amy Schumer may have brought us Trainwreck, but that word just got redefined on #TheVoice."""
4,-1,I just think that sports are stupid &amp;anyone who likes them is a lesser person &amp; has a small intellect- Amy Schumer  _URL 
5,-1,"""If you do like Amy Schumer, I hope you went &amp; saw her Saturday bc after this ridiculousness, I highly doubt Maine will be on list of faves."""
6,-1,"""People are like, """"Amy Schumer? I don't like her, she's fat."""" And I'm all like Ralphie May is fatter, and I don't..  _URL """
7,-1,"""Seriously though, somebody posted Amy Schumer as their woman crush Wednesday on Instagram &amp; I almost went off, but it's not worth it"""
8,-1,They may be mean but I guess they're not stupid..free TED but you have to pay for Amy Schumer - most unimpressed.  _URL 
9,-1,This Amy Schumer segment is now old news about 2 days too late..good producer would have had it on Monday @localmemphis #Local24 #LML
10,-1,WARNING: This may not safe for work. But Mojo &amp; AC just found out about some new Amy Schumer leaked nudes!  _URL 
11,-1,if I have to read another article about how Amy Schumer is a feminist icon I'm going to fucking toss myself into the sun
12,-2,Amy Schumer is on Sky Atlantic doing one of the worst stand up sets I have ever seen. And I've almost sat through 30 seconds of Millican.
13,0,'Saturday Night Live' re-watch: Amy Schumer's monologue (with Bradley Cooper .. -  _URL   _URL 
14,0,09 Nov: Selena Gomez with Amy Schumer the 25th Annual Glamour Woman Of The Year Awards in New York City
15,0,@AlwysBeMkngFrnz we may go see Amy Schumer at the Troc earlier that night
16,0,"""@ItsMeKimShaw did you see the Friday Night Lights spoof that Amy Schumer did? She had that glass, straight slurping Chardonnay."""
17,0,@TheBertShow I agree with Bert. Amy Schumer may not be in as many nominated movie roles just bcause her base is comedy - gets less noms
18,0,A little bit of rain wasn't enough to dampen the spirits of Amy Schumer and her sister Kim Caramele on Tuesday.
19,0,Actor Amy Schumer gets famous and the 1st thing she does? Make Leftwing comments re gun control. I won't act if you stay out of policy.
20,0,Actress and comedian Amy Schumer shared an intimate portrait on Monday that he would try a last-ditch appeal to New Zealand's High Court.
21,0,"""Amy Schumer Gets Realer Than Real About the Kardashians, Women's Magazines, and #ffshoes  _URL   _URL """
